17.46304360327312	kokorokjo
10.605881211776856	My
10.146161650854546	zrovnamebudapest
8.820657348960234	Elerpe
8.021728040973537	gersiagi
7.986610522692836	budapest
7.871665613647302	stefan.exe
6.980111817012769	krtko
6.648796497195812	poharvdzbane
6.505303051420402	kocurika
6.032969786326401	robotrt
5.886836809316374	tanky.io
5.3459324010720595	atsooi
4.0318210584327305	Armata
3.9674527600684626	pecenezemiaky
3.9422738297560085	janci
3.9362668988617138	tiger
3.9144375743900643	okno
3.6565890937679972	TankiOffline
3.6433838381989023	CierneZeny
2.7804842144480806	kockumamdoma
2.3340549895186875	severnakambodza
1.8569480582254123	misqo
1.5003944020041087	dvaja_strateny
0.33369920649094953	RuzovyTank

